CODGEO;sous_seg1;Seg1
1191;1;1.0
11910000;1;1.0
1192;3_1;3.0
11920000;3_1;3.0
1193;1;1.0
11930000;1;1.0
1194;5;5.0
11940000;5;5.0
1195;3_1;3.0
11950000;3_1;3.0
1196;3_1;3.0
11960000;3_1;3.0
1197;3_2;3.0
11970000;3_2;3.0
1198;1;1.0
11980000;1;1.0
1199;3_1;3.0
11990000;3_1;3.0
1200;2_2;2.0
12000000;2_2;2.0
1202;8_1;8.0
12020000;8_1;8.0
1203;3_1;3.0
12030000;3_1;3.0
1204;3_1;3.0
12040000;3_1;3.0
1205;2_2;2.0
12050000;2_2;2.0
1206;1;1.0
12060000;1;1.0
1207;1;1.0
12070000;1;1.0
1208;1;1.0
12080000;1;1.0
1209;2_2;2.0
12090000;2_2;2.0
1210;2_3;2.0
12100000;2_3;2.0
1211;2_3;2.0
12110000;2_3;2.0
1212;2_3;2.0
12120000;2_3;2.0
1213;2_3;2.0
12130000;2_3;2.0
1214;2_2;2.0
12140000;2_2;2.0
1215;2_1;2.0
12150000;2_1;2.0
1216;2_3;2.0
12160000;2_3;2.0
1218;1;1.0
12180000;1;1.0
1219;1;1.0
12190000;1;1.0
1221;2_1;2.0
12210000;2_1;2.0
1224;5;5.0
12240000;5;5.0
1225;3_3;3.0
12250000;3_3;3.0
1227;2_2;2.0
12270000;2_2;2.0
1228;3_1;3.0
12280000;3_1;3.0
1229;3_1;3.0
12290000;3_1;3.0
1230;1;1.0
12300000;1;1.0
1231;3_3;3.0
12310000;3_3;3.0
1232;3_1;3.0
12320000;3_1;3.0
1233;2_1;2.0
12330000;2_1;2.0
1234;1;1.0
12340000;1;1.0
1235;2_3;2.0
12350000;2_3;2.0
1236;3_2;3.0
12360000;3_2;3.0
1237;3_1;3.0
12370000;3_1;3.0
1238;5;5.0
12380000;5;5.0
1239;2_2;2.0
12390000;2_2;2.0
1240;1;1.0
12400000;1;1.0
1241;3_3;3.0
12410000;3_3;3.0
1242;1;1.0
12420000;1;1.0
1243;3_3;3.0
12430000;3_3;3.0
1244;8_1;8.0
12440000;8_1;8.0
1245;2_3;2.0
12450000;2_3;2.0
1246;3_1;3.0
12460000;3_1;3.0
1247;2_3;2.0
12470000;2_3;2.0
1248;3_1;3.0
12480000;3_1;3.0
1249;8_1;8.0
12490000;8_1;8.0
1250;3_3;3.0
12500000;3_3;3.0
1252;2_2;2.0
12520000;2_2;2.0
1254;5;5.0
12540000;5;5.0
1255;3_1;3.0
12550000;3_1;3.0
1257;1;1.0
12570000;1;1.0
1258;3_1;3.0
12580000;3_1;3.0
1259;3_3;3.0
12590000;3_3;3.0
1260;1;1.0
12600000;1;1.0
1261;2_2;2.0
12610000;2_2;2.0
1262;8_1;8.0
12620000;8_1;8.0
1263;5;5.0
12630000;5;5.0
1264;3_3;3.0
12640000;3_3;3.0
1265;5;5.0
12650000;5;5.0
1266;5;5.0
12660000;5;5.0
1267;3_1;3.0
12670000;3_1;3.0
1268;1;1.0
12680000;1;1.0
1269;5;5.0
12690000;5;5.0
