codgeo;P10_POP0610;P10_POP1117;P10_POP1824;P10_POP2539;P10_POP4054;P10_POP5564;P10_POP6579;P10_POP80P
64284;369.811921;560.968658;546.418133;1137.376467;1454.814301;1004.0601159999999;1099.368719;428.659457
64285;23.205479;25.315068;6.328767;41.136986;50.630137;22.150685;34.808219;7.383562
64286;27.930521;35.91067;12.967742;50.873449;95.761787;66.833747;68.828784;23.940447
64287;11.686957;5.843478;2.921739;11.686957;24.347826;20.452174;18.504348;12.66087
64288;44.0;46.0;39.0;104.0;142.0;75.0;38.0;18.0
64289;69.035117;90.731868;63.117821;165.68428;214.995077;148.961487;108.783905;81.448569
64290;44.900524;50.513089;35.546248;121.605585;122.541012;48.642234;37.417103;10.289703
64291;25.411765;38.117647;19.058824;45.529412;72.0;40.235294;62.470588;18.0
64292;21.04;21.04;12.624;50.496;59.964;31.56;32.612;15.78
64293;7.0875;11.1375;5.0625;25.3125;40.5;31.3875;24.3;10.125
64294;12.916129;12.916129;4.967742;10.929032;44.709677;20.864516;27.819355;13.909677
64295;5.0;9.0;4.0;23.0;22.0;17.0;13.0;5.0
64296;7.796748;16.707317;3.341463;23.390244;37.869919;15.593496;16.707317;7.796748
64297;11.44898;10.408163;10.408163;30.183673;34.346939;20.816327;13.530612;7.285714
64298;3.047244;12.188976;6.094488;16.251969;33.519685;11.173228;30.472441;8.125984
64299;17.0;23.0;10.0;51.0;41.0;38.0;26.0;11.0
64300;47.864215;65.813296;31.909477;135.615276;145.586987;85.756719;95.72843;35.898161
64301;76.0;106.0;60.0;196.0;277.0;179.0;178.0;67.0
64302;39.65812;46.598291;17.846154;63.452991;120.957265;62.461538;65.435897;18.837607
64303;8.604396;17.208791;7.648352;21.989011;47.802198;19.120879;24.857143;12.428571
64304;127.0;200.0;134.0;309.0;556.0;320.0;244.0;42.0
64305;33.217573;35.171548;22.470711;70.343096;100.629707;64.481172;68.389121;40.056485
64306;49.337931;67.462069;24.165517;105.724138;184.262069;88.606897;134.924138;36.248276
64307;16.665025;17.64532;9.802956;30.389163;46.073892;32.349754;32.349754;7.842365
64308;23.0;22.0;14.0;45.0;71.0;34.0;30.0;11.0
64309;11.06044;16.087912;10.054945;25.137363;45.247253;26.142857;29.159341;17.093407
64310;20.5;33.825;32.8;70.725;113.775;70.725;85.075;44.075
64311;14.0;11.0;4.0;25.0;40.0;29.0;22.0;15.0
64312;22.0;33.0;13.0;67.0;78.0;40.0;27.0;11.0
64313;22.766102;24.745763;14.847458;53.450847;56.420339;32.664407;46.522034;21.776271
64314;17.09185;21.113461;21.050113;80.356215;81.399627;80.432233;58.313369;20.108058
64315;55.351064;96.612766;59.376596;149.951064;218.385106;170.078723;102.651064;36.229787
64316;6.697115;10.524038;12.4375;28.701923;46.879808;32.528846;38.269231;17.221154
64317;108.300059;139.92751;92.00713;338.317885;354.610814;216.600119;168.679739;61.338087
64318;8.834356;18.650307;7.852761;29.447853;36.319018;17.668712;20.613497;8.834356
64319;16.084656;10.05291;10.05291;35.185185;33.174603;25.132275;31.164021;14.074074
64320;49.297653;69.659726;63.157557;166.89518;270.993007;249.631286;229.836614;123.514444
64321;26.2;28.215385;7.053846;53.407692;54.415385;36.276923;27.207692;5.038462
64322;14.967742;16.83871;10.290323;65.483871;58.0;44.903226;38.354839;11.225806
64323;11.0;11.0;2.0;8.0;25.0;20.0;8.0;5.0
64324;127.345391;143.99825;72.488915;275.26196;392.811552;220.405484;198.854726;112.651692
64325;14.619289;10.050761;3.654822;34.720812;34.720812;26.497462;34.720812;10.050761
64326;8.782258;14.637097;2.927419;17.564516;19.516129;14.637097;31.225806;4.879032
64327;6.032967;12.065934;10.054945;26.142857;40.21978;28.153846;33.181319;12.065934
64328;45.908;77.844;38.922;154.69;244.51;181.636;140.718;42.914
64329;105.361564;144.384365;49.754072;151.213355;325.840391;156.091205;149.262215;36.096091
64330;25.0;29.0;14.0;47.0;72.0;26.0;46.0;13.0
64331;54.078608;58.011598;37.363402;129.78866;144.537371;83.576031;130.771907;73.743557
64332;10.0;15.0;8.0;25.0;39.0;11.0;30.0;13.0
64334;10.319635;23.73516;6.191781;33.022831;42.310502;38.182648;36.118721;17.543379
64335;689.2443519999999;1066.701687;798.5319959999999;1505.447224;2607.2320449999997;1246.794651;1066.057761;372.705868
64336;12.856354;10.878453;0.98895;17.801105;46.480663;26.701657;45.491713;12.856354
64337;9.469697;4.734848;1.893939;20.833333;27.462121;22.727273;21.780303;9.469697
64338;7.624204;11.980892;9.802548;45.745223;20.694268;21.783439;25.050955;6.535032
64339;58.053546;61.005421;64.332394;130.823123;148.260685;112.871038;120.614769;80.113425
64340;1.0;3.0;5.0;6.0;18.0;13.0;10.0;7.0
64341;7.153285;4.087591;9.19708;24.525547;21.459854;28.613139;27.591241;7.153285
64342;11.0;11.0;15.0;39.0;50.0;36.0;41.0;21.0
64343;42.454194;51.387199;17.462684;112.633575;101.041574;54.583963;52.253611;11.263357
64344;35.000096;38.999117;28.997652;77.000435;107.999274;38.001318;46.001596;21.000728
64345;9.229592;20.510204;8.204082;36.918367;42.045918;27.688776;27.688776;12.306122
64346;9.85;15.76;11.82;33.49;55.16;14.775;33.49;8.865
64347;12.464516;12.464516;10.387097;32.2;40.509677;8.309677;18.696774;8.309677
64348;730.92781;1089.186752;1020.631489;2140.662277;2738.5634459999997;1757.541367;1453.663512;485.66790799999995
64349;32.0;38.0;13.0;85.0;80.0;74.0;61.0;30.0
64350;82.168646;81.115202;54.779097;222.276722;188.566508;62.153207;82.168646;23.175772
64351;11.541401;13.464968;5.770701;15.388535;34.624204;22.121019;25.968153;11.541401
64352;24.0;24.0;20.0;83.0;80.0;41.0;26.0;13.0
64353;73.804408;90.991736;50.550964;170.862259;259.831956;159.741047;166.818182;67.738292
64354;1.89916;2.848739;7.596639;11.394958;26.588235;25.638655;23.739496;5.697479
64355;8.264463;4.132231;6.198347;19.628099;29.958678;11.363636;26.859504;8.264463
64356;7.466667;7.466667;3.733333;18.666667;23.333333;8.4;22.4;9.333333
64357;1.033333;3.1;2.066667;14.466667;8.266667;10.333333;12.4;6.2
64358;14.780669;12.669145;15.836431;41.174721;69.680297;64.401487;27.449814;22.171004
64359;73.821976;82.937596;26.006087;172.652445;222.463523;135.672821;139.663198;59.855656
64360;8.229223;24.687669;11.315181;32.862153;47.235924;30.832217;41.118745;11.315181
64361;9.0;15.0;13.0;26.0;40.0;21.0;10.0;17.0
64362;22.767998;25.044797;16.400129;72.321283;85.122799;30.039001;28.459997;15.937598
64363;12.169014;22.309859;24.338028;56.788732;79.098592;34.478873;58.816901;38.535211
64364;32.0;54.0;34.0;103.0;131.0;60.0;71.0;20.0
64365;16.109836;21.144159;29.199077;50.343237;93.63842;55.394881;74.559953;48.459413
64366;0.0;6.0;17.0;22.0;26.0;21.0;18.0;12.0
64367;56.310943;90.276273;42.903575;142.118093;190.384615;92.957746;102.789816;41.115926
64368;20.401606;18.361446;3.060241;56.104418;39.783133;28.562249;38.763052;19.381526
64369;24.0;22.0;14.0;45.0;69.0;28.0;40.0;16.0
64370;30.383817;49.242739;25.145228;62.863071;127.821577;80.674274;73.340249;25.145228
64371;115.645499;201.52689;199.556058;496.246249;623.462046;463.934267;542.117924;425.90559
64372;4.104348;11.286957;8.208696;22.573913;28.730435;16.417391;8.208696;8.208696
64373;101.616563;143.753719;127.581555;277.991615;428.729591;330.67537;307.991144;124.989031
64374;83.484481;94.288354;40.268985;220.988331;225.899183;114.913932;96.374492;45.458229
64375;20.0;21.0;10.0;49.0;47.0;39.0;38.0;15.0
64376;66.0;85.0;37.0;165.0;190.0;118.0;96.0;40.0
