codgeo;CLUSTER
21270000;6.0
2128;10.0
21280000;10.0
2129;7.0
21290000;7.0
2130;8.0
21300000;8.0
2131;6.0
21310000;6.0
2132;6.0
21320000;6.0
2133;9.0
21330000;9.0
2134;9.0
21340000;9.0
2135;10.0
21350000;10.0
2136;6.0
21360000;6.0
2137;9.0
21370000;9.0
2138;6.0
21380000;6.0
2139;6.0
21390000;6.0
2140;6.0
21400000;6.0
2141;10.0
21410000;10.0
2142;6.0
21420000;6.0
2143;6.0
21430000;6.0
2144;9.0
21440000;9.0
2145;6.0
21450000;6.0
2146;8.0
21460000;8.0
2147;6.0
21470000;6.0
2148;6.0
21480000;6.0
2149;6.0
21490000;6.0
2150;9.0
21500000;9.0
2151;8.0
21510000;8.0
2152;6.0
21520000;6.0
2153;9.0
21530000;9.0
2154;6.0
21540000;6.0
2155;8.0
21550000;8.0
2156;6.0
21560000;6.0
2157;8.0
21570000;8.0
2158;10.0
21580000;10.0
2159;6.0
21590000;6.0
2160;9.0
21600000;9.0
2161;8.0
21610000;8.0
2162;6.0
21620000;6.0
2163;2.0
21630000;2.0
2164;6.0
21640000;6.0
2165;8.0
21650000;8.0
2166;8.0
21660000;8.0
2167;6.0
21670000;6.0
21680101;3.0
21680201;2.0
21680301;3.0
21680401;2.0
21680501;4.0
21680601;8.0
21680701;5.0
2169;6.0
21690000;6.0
2170;8.0
21700000;8.0
2171;6.0
21710000;6.0
2172;6.0
21720000;6.0
21730101;4.0
21730201;7.0
21730301;2.0
2174;6.0
21740000;6.0
2175;6.0
21750000;6.0
2176;6.0
21760000;6.0
2177;8.0
21770000;8.0
2178;6.0
21780000;6.0
2179;8.0
21790000;8.0
2180;6.0
21800000;6.0
2181;8.0
21810000;8.0
2182;6.0
21820000;6.0
2183;6.0
21830000;6.0
2184;9.0
21840000;9.0
2185;6.0
21850000;6.0
2186;10.0
21860000;10.0
2187;8.0
21870000;8.0
2188;8.0
21880000;8.0
2189;9.0
21890000;9.0
2190;6.0
21900000;6.0
2191;10.0
21910000;10.0
2192;6.0
21920000;6.0
2193;8.0
21930000;8.0
2194;6.0
21940000;6.0
2195;6.0
21950000;6.0
2196;6.0
21960000;6.0
2197;6.0
21970000;6.0
2198;6.0
21980000;6.0
2199;6.0
21990000;6.0
2200;9.0
22000000;9.0
2201;9.0
22010000;9.0
2203;9.0
22030000;9.0
2204;7.0
22040000;7.0
2205;6.0
22050000;6.0
2206;6.0
22060000;6.0
2207;6.0
22070000;6.0
2208;6.0
22080000;6.0
2209;10.0
22090000;10.0
2210;6.0
22100000;6.0
2211;8.0
22110000;8.0
2212;9.0
22120000;9.0
2213;9.0
22130000;9.0
2214;6.0
22140000;6.0
2215;9.0
22150000;9.0
2216;6.0
22160000;6.0
2217;9.0
22170000;9.0
2218;6.0
22180000;6.0
2219;6.0
22190000;6.0
2220;8.0
22200000;8.0
2221;6.0
22210000;6.0
2222;10.0
22220000;10.0
2223;6.0
22230000;6.0
2224;9.0
22240000;9.0
2225;6.0
22250000;6.0
2226;6.0
22260000;6.0
2227;8.0
22270000;8.0
2228;6.0
22280000;6.0
2229;8.0
22290000;8.0
2230;10.0
22300000;10.0
2231;10.0
22310000;10.0
2232;9.0
22320000;9.0
2233;9.0
22330000;9.0
2234;10.0
22340000;10.0
2235;8.0
22350000;8.0
2236;9.0
22360000;9.0
2237;10.0
22370000;10.0
2238;9.0
22380000;9.0
2239;10.0
22390000;10.0
2240;6.0
22400000;6.0
2241;9.0
22410000;9.0
2242;9.0
22420000;9.0
2243;10.0
22430000;10.0
2244;9.0
22440000;9.0
2245;1.0
22450000;1.0
2246;6.0
22460000;6.0
2248;9.0
22480000;9.0
2249;9.0
22490000;9.0
2250;6.0
22500000;6.0
2251;6.0
22510000;6.0
2252;10.0
22520000;10.0
2253;6.0
22530000;6.0
2254;6.0
22540000;6.0
2255;6.0
22550000;6.0
2256;8.0
22560000;8.0
2257;8.0
22570000;8.0
2258;6.0
22580000;6.0
2259;6.0
22590000;6.0
2260;9.0
22600000;9.0
2261;6.0
22610000;6.0
2262;6.0
22620000;6.0
2263;9.0
22630000;9.0
2264;9.0
22640000;9.0
2265;8.0
22650000;8.0
2266;6.0
22660000;6.0
2267;6.0
22670000;6.0
2268;6.0
22680000;6.0
2269;9.0
22690000;9.0
2270;9.0
22700000;9.0
2271;9.0
22710000;9.0
2272;8.0
22720000;8.0
2273;6.0
22730000;6.0
2274;6.0
22740000;6.0
2275;9.0
22750000;9.0
2276;9.0
22760000;9.0
2277;6.0
22770000;6.0
2278;6.0
22780000;6.0
2279;6.0
22790000;6.0
2280;6.0
22800000;6.0
2281;6.0
22810000;6.0
2282;9.0
22820000;9.0
2283;6.0
22830000;6.0
2284;8.0
22840000;8.0
2286;8.0
22860000;8.0
2287;6.0
22870000;6.0
2288;6.0
22880000;6.0
2289;6.0
22890000;6.0
2290;9.0
22900000;9.0
2291;6.0
22910000;6.0
2292;8.0
22920000;8.0
2293;6.0
22930000;6.0
2294;6.0
22940000;6.0
2295;10.0
22950000;10.0
2296;6.0
22960000;6.0
2297;8.0
22970000;8.0
2298;10.0
22980000;10.0
2299;9.0
22990000;9.0
2301;9.0
23010000;9.0
2302;6.0
23020000;6.0
2303;6.0
23030000;6.0
2304;5.0
23040000;5.0
2305;2.0
23050000;2.0
2306;6.0
23060000;6.0
2307;10.0
23070000;10.0
2308;6.0
23080000;6.0
2309;6.0
23090000;6.0
2310;6.0
23100000;6.0
2311;9.0
23110000;9.0
2312;6.0
23120000;6.0
2313;6.0
23130000;6.0
2315;9.0
23150000;9.0
2316;6.0
23160000;6.0
2317;6.0
23170000;6.0
2318;10.0
23180000;10.0
2319;6.0
23190000;6.0
2320;6.0
23200000;6.0
2321;9.0
23210000;9.0
2322;6.0
23220000;6.0
2323;6.0
23230000;6.0
2324;9.0
23240000;9.0
2325;9.0
23250000;9.0
2326;9.0
23260000;9.0
2327;9.0
23270000;9.0
2328;6.0
23280000;6.0
2329;6.0
23290000;6.0
2330;6.0
23300000;6.0
2331;10.0
23310000;10.0
2332;6.0
23320000;6.0
2333;9.0
23330000;9.0
2334;10.0
23340000;10.0
2335;6.0
23350000;6.0
2336;6.0
23360000;6.0
2337;6.0
23370000;6.0
2338;9.0
23380000;9.0
2339;6.0
23390000;6.0
23400101;9.0
23400201;5.0
23400301;10.0
2341;6.0
23410000;6.0
2342;6.0
23420000;6.0
2343;8.0
23430000;8.0
2344;8.0
23440000;8.0
2345;6.0
23450000;6.0
2346;9.0
23460000;9.0
2347;6.0
23470000;6.0
2348;6.0
23480000;6.0
2349;8.0
23490000;8.0
2350;6.0
23500000;6.0
2351;6.0
23510000;6.0
2352;9.0
23520000;9.0
2353;6.0
23530000;6.0
2354;6.0
23540000;6.0
2355;6.0
23550000;6.0
2356;6.0
23560000;6.0
2357;6.0
23570000;6.0
2358;6.0
23580000;6.0
2359;10.0
23590000;10.0
2360;10.0
23600000;10.0
2361;2.0
23610000;2.0
2362;6.0
23620000;6.0
2363;9.0
23630000;9.0
2364;6.0
23640000;6.0
2366;6.0
23660000;6.0
2367;6.0
23670000;6.0
2368;6.0
23680000;6.0
2369;8.0
23690000;8.0
2370;6.0
23700000;6.0
2371;10.0
23710000;10.0
2372;6.0
23720000;6.0
2373;6.0
23730000;6.0
2374;10.0
23740000;10.0
2375;6.0
23750000;6.0
2376;9.0
23760000;9.0
2377;6.0
23770000;6.0
2378;6.0
23780000;6.0
2379;6.0
23790000;6.0
2380;7.0
23800000;7.0
23810101;2.0
23810201;10.0
23810301;5.0
23810401;10.0
2382;9.0
23820000;9.0
2383;10.0
23830000;10.0
2384;6.0
23840000;6.0
2385;6.0
23850000;6.0
2386;8.0
23860000;8.0
2387;6.0
23870000;6.0
2388;8.0
23880000;8.0
2389;8.0
23890000;8.0
2390;6.0
23900000;6.0
2391;8.0
23910000;8.0
2392;6.0
23920000;6.0
2393;6.0
23930000;6.0
2395;6.0
23950000;6.0
2396;6.0
23960000;6.0
2397;10.0
23970000;10.0
2398;6.0
23980000;6.0
2399;6.0
23990000;6.0
2400;6.0
24000000;6.0
2401;6.0
24010000;6.0
2402;6.0
24020000;6.0
2403;9.0
24030000;9.0
2404;9.0
24040000;9.0
2405;6.0
24050000;6.0
2406;6.0
24060000;6.0
2407;6.0
24070000;6.0
24080101;4.0
24080102;4.0
24080103;5.0
24080201;5.0
24080301;1.0
24080401;10.0
24080402;4.0
24080501;1.0
24080601;2.0
24080701;10.0
24080801;5.0
24080901;7.0
2409;6.0
24090000;6.0
2410;6.0
24100000;6.0
2411;6.0
24110000;6.0
2412;6.0
24120000;6.0
2413;6.0
24130000;6.0
2414;9.0
24140000;9.0
2415;6.0
24150000;6.0
2416;9.0
24160000;9.0
2417;8.0
24170000;8.0
2418;6.0
24180000;6.0
2419;9.0
24190000;9.0
2420;6.0
24200000;6.0
2421;10.0
24210000;10.0
2422;9.0
24220000;9.0
2423;6.0
24230000;6.0
2424;6.0
24240000;6.0
2425;6.0
24250000;6.0
2426;6.0
24260000;6.0
2427;6.0
24270000;6.0
2428;6.0
24280000;6.0
2429;6.0
24290000;6.0
2430;10.0
24300000;10.0
2431;8.0
24310000;8.0
2432;9.0
24320000;9.0
2433;8.0
24330000;8.0
2434;6.0
24340000;6.0
2435;6.0
24350000;6.0
2438;9.0
24380000;9.0
2439;9.0
24390000;9.0
2440;6.0
24400000;6.0
2441;6.0
24410000;6.0
2442;8.0
24420000;8.0
2443;8.0
24430000;8.0
2444;6.0
24440000;6.0
2445;6.0
24450000;6.0
2446;6.0
24460000;6.0
2447;9.0
24470000;9.0
2448;6.0
24480000;6.0
2449;6.0
24490000;6.0
2450;6.0
24500000;6.0
2451;6.0
24510000;6.0
2452;6.0
24520000;6.0
2453;6.0
24530000;6.0
2454;6.0
24540000;6.0
2455;9.0
24550000;9.0
2456;6.0
24560000;6.0
2457;9.0
24570000;9.0
2458;6.0
24580000;6.0
2459;6.0
24590000;6.0
2460;6.0
24600000;6.0
2461;6.0
24610000;6.0
2462;6.0
24620000;6.0
2463;8.0
24630000;8.0
2464;9.0
24640000;9.0
2465;9.0
24650000;9.0
2466;9.0
24660000;9.0
2467;6.0
24670000;6.0
2468;10.0
24680000;10.0
2469;8.0
24690000;8.0
2470;9.0
24700000;9.0
2471;9.0
24710000;9.0
2472;6.0
24720000;6.0
2473;6.0
24730000;6.0
2474;6.0
24740000;6.0
2475;6.0
24750000;6.0
2476;9.0
24760000;9.0
2477;9.0
24770000;9.0
2478;6.0
24780000;6.0
2479;9.0
24790000;9.0
2480;8.0
24800000;8.0
2481;6.0
24810000;6.0
2482;8.0
24820000;8.0
2483;6.0
24830000;6.0
2484;6.0
24840000;6.0
2485;9.0
24850000;9.0
2486;6.0
24860000;6.0
2487;6.0
24870000;6.0
2488;8.0
24880000;8.0
2489;6.0
24890000;6.0
2490;6.0
24900000;6.0
2491;6.0
24910000;6.0
2492;6.0
24920000;6.0
